,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,60099204,1,42,1,0,1,1,0,25000.0,1,
1,62244665,0,28,1,0,1,1,1,10000.0,1,
2,61050759,0,64,1,1,0,2,0,30000.0,1,1.0
3,62079659,0,54,1,0,1,0,0,25000.0,1,
4,66583553,0,26,1,0,0,1,1,15000.0,2,2.0
5,66759647,0,63,0,1,1,2,0,7800.0,1,1.0
6,60045224,1,32,1,0,0,0,0,12000.0,1,
7,66593813,0,52,1,0,1,1,0,8000.0,3,3.0
8,62380912,0,47,1,0,0,2,0,10000.0,1,
9,65420244,0,23,1,0,1,0,0,7000.0,1,1.0
10,64885090,0,42,1,0,1,2,1,9000.0,1,
11,61241205,0,31,1,0,1,0,0,12000.0,1,
12,65396723,0,25,1,0,1,0,0,4900.0,1,1.0
13,63590644,0,37,1,0,1,2,2,20000.0,1,
14,62168155,0,52,0,1,1,3,0,5500.0,1,
15,74560681,0,46,1,0,1,2,0,55000.0,2,2.0
16,60387399,0,28,1,0,1,1,1,8500.0,1,
17,62810257,0,62,0,1,1,0,0,8000.0,1,
18,61376906,0,50,1,0,0,1,0,20000.0,1,
19,62178934,1,30,1,0,1,2,2,5000.0,1,
20,61257026,0,64,0,1,0,0,0,9000.0,1,
21,62171073,0,41,1,0,1,0,0,6500.0,1,
22,64365052,0,27,1,0,1,0,0,7000.0,1,1.0
23,60456097,0,41,1,0,1,0,0,8000.0,1,1.0
24,75021737,0,30,1,0,1,0,0,15000.0,3,2.0
25,74834078,0,61,1,1,1,2,0,27000.0,1,
26,67335615,0,38,1,0,1,0,1,15000.0,3,1.0
27,66194407,0,51,1,0,1,0,0,6000.0,1,
28,63326150,0,58,0,1,0,2,0,10500.0,1,
29,59911832,0,35,1,0,0,1,1,15000.0,2,2.0
30,66756441,0,45,1,0,0,2,1,20000.0,4,4.0
31,65405795,0,25,1,0,1,0,0,9000.0,2,2.0
32,62083785,0,62,1,1,1,2,0,13000.0,1,
33,62128075,0,30,1,0,1,1,1,11000.0,1,
34,61427836,0,56,1,1,1,3,0,20000.0,1,1.0
35,62599729,0,36,1,0,1,1,1,15000.0,1,
36,62623117,0,55,1,0,1,2,0,13000.0,1,
37,61253219,0,29,1,0,0,1,1,25000.0,1,
38,63913234,0,32,1,0,0,2,1,21000.0,1,
39,67020373,0,36,1,0,0,1,1,15000.0,2,2.0
40,61306799,0,27,1,0,0,2,2,6500.0,1,
41,61378742,0,41,1,0,0,3,2,10000.0,1,
42,67531672,0,54,0,1,1,2,0,6500.0,1,
43,60468475,0,52,1,0,0,1,0,30000.0,1,1.0
44,66961178,0,28,1,0,1,1,1,12000.0,1,
45,66902951,0,26,1,0,1,1,1,8000.0,1,
46,61958864,0,27,1,0,0,1,1,20000.0,1,
47,64564180,1,28,1,0,0,0,0,12000.0,1,
48,61243509,0,25,1,0,1,1,1,11000.0,1,
49,72289471,0,39,1,0,1,2,2,8000.0,2,1.0
50,66661261,1,64,1,0,1,0,0,23000.0,1,
51,63907628,0,43,1,0,0,1,1,20000.0,1,
52,65007484,0,44,1,0,0,0,0,22000.0,2,
53,64335140,0,34,1,0,1,2,2,15000.0,1,
54,66745524,1,34,1,0,1,1,1,7000.0,2,2.0
55,61938660,0,51,1,0,1,1,0,7500.0,2,2.0
56,75214244,0,40,1,0,0,2,2,15000.0,1,
57,62094470,1,27,1,0,0,1,1,12000.0,1,
58,59930422,0,29,1,0,0,0,0,20000.0,2,2.0
59,60098380,0,42,1,0,1,2,2,11000.0,1,
60,62384561,0,50,1,0,1,1,0,10000.0,1,
61,59962548,0,26,1,0,0,1,1,15000.0,1,1.0
62,61244949,1,22,1,0,0,0,0,10000.0,1,
63,62249206,0,57,1,1,0,2,1,23000.0,1,
64,62786543,0,50,1,0,1,0,0,15000.0,2,
65,61423700,0,35,1,0,0,1,1,12500.0,1,
66,66771811,0,55,1,1,1,1,0,20000.0,2,2.0
67,66670943,0,34,1,0,0,0,1,12000.0,3,3.0
68,62236055,0,28,1,0,0,1,1,6000.0,1,
69,62593286,0,59,1,0,0,3,0,17500.0,1,
70,66782719,0,47,1,0,1,1,0,18000.0,3,3.0
71,66432857,0,41,1,0,1,2,2,9000.0,2,2.0
72,66530733,1,36,1,0,1,0,0,7000.0,2,2.0
73,61467586,0,55,1,0,0,0,0,18000.0,1,
74,61845475,0,52,1,0,0,1,0,25000.0,1,
75,74995307,1,46,1,0,0,2,0,30000.0,1,
76,59973701,0,23,1,0,1,1,1,7000.0,1,
77,67321747,0,23,1,0,1,0,0,9000.0,1,
78,64471913,0,40,1,0,1,1,1,15000.0,1,
79,61231849,0,36,1,0,1,3,3,11000.0,1,1.0
80,63986090,0,23,1,0,0,1,1,15000.0,1,
